Andaman & Nicobar,7.6,86.27
Andhra Pradesh,22.9,67.4
Arunachal Pradesh,19,66.95
Assam,33.7,73.18
Bihar,32,63.82
Chandigarh,0,86.43
Chhattisgarh,21.4,71.04
Dadra & Nagar,25.1,77.65
Daman & Diu,21.2,87.07
Delhi,17.5,86.34
Goa,7.3,87.4
Gujarat,20.6,79.31
Haryana,13.4,76.64
Himachal Pradesh,6.5,83.78
Jammu & Kashmir,3.4,68.74
Jharkhand,9.5,67.63
Karnataka,24.3,75.6
Kerala,12,93.91
Lakshadweep,5.5,92.28
Madhya Pradesh,24.2,70.63
Maharashtra,12.6,82.91
Manipur,5.9,79.85
Meghalaya,17.5,75.48
Mizoram,19.7,91.58
Nagaland,13.2,80.11
Odisha,28.3,73.45
Puducherry,17.5,86.55
Punjab,12.4,76.68
Rajasthan,10.5,67.06
Sikkim,16.1,82.2
Tamil Nadu,16.2,80.33
Telangana,17.1,66.5
Tripura,27.2,87.75
Uttar Pradesh,19,69.72
Uttarakhand,11.3,79.63
West Bengal,14.6,77.08
