Andaman & Nicobar,14,73
Andhra Pradesh,32,69.7
Arunachal Pradesh,42,67
Assam,44,66.2
Bihar,35,68.9
Chandigarh,14,73
Chhattisgarh,38,65.2
Dadra & Nagar,13,69.9
Daman & Diu,17,69.8
Delhi,16,74.7
Goa,9,73
Gujarat,30,69.7
Haryana,30,69.7
Himachal Pradesh,22,72.6
Jammu & Kashmir,23,74.1
Jharkhand,29,68.6
Karnataka,25,69.2
Kerala,10,75.2
Lakshadweep,20,74
Madhya Pradesh,47,66
Maharashtra,19,72.5
Manipur,12,67.1
Meghalaya,39,66.5
Mizoram,15,66.8
Nagaland,7,67
Odisha,41,68.4
Puducherry,11,72
Punjab,21,72.4
Rajasthan,38,68.5
Sikkim,12,72.2
Tamil Nadu,16,71.7
Telangana,29,69.8
Tripura,29,67.1
Uttar Pradesh,41,65
Uttarakhand,32,71
West Bengal,24,71.2
